event,variable,max,mean,std,min
STEREO-A_2010-08-31,|B| (nT),19.5957,6.859,3.594,0.659
STEREO-A_2010-08-31,BR (nT),7.6652,-3.7455,3.8062,-12.5904
STEREO-A_2010-08-31,BT (nT),15.9224,2.0178,3.7489,-13.28
STEREO-A_2010-08-31,BN (nT),17.2638,-0.2459,3.513,-14.789
STEREO-A_2010-08-31,Vp (km/s),661.0,423.0732,114.1682,284.0
STEREO-A_2010-08-31,Np (cm⁻³),46.3,8.5125,8.7802,0.43
STEREO-A_2010-10-20,|B| (nT),11.0027,6.0095,2.0277,2.1056
STEREO-A_2010-10-20,BR (nT),8.057,1.7654,2.6768,-6.006
STEREO-A_2010-10-20,BT (nT),6.0763,-3.5189,2.4382,-9.8234
STEREO-A_2010-10-20,BN (nT),7.2819,-0.4537,3.2687,-10.09
STEREO-A_2010-10-20,Vp (km/s),486.0,338.8452,45.2585,267.0
STEREO-A_2010-10-20,Np (cm⁻³),20.0,6.1332,3.2752,0.69
STEREO-A_2010-11-02,|B| (nT),18.7692,5.6944,2.9223,0.9441
STEREO-A_2010-11-02,BR (nT),6.2033,-1.9012,3.3541,-15.0606
STEREO-A_2010-11-02,BT (nT),15.5802,3.101,3.005,-6.4548
STEREO-A_2010-11-02,BN (nT),9.0681,0.1345,2.5521,-12.0778
STEREO-A_2010-11-02,Vp (km/s),633.0,503.4331,49.5048,355.0
STEREO-A_2010-11-02,Np (cm⁻³),29.0,2.3787,2.5247,0.46
STEREO-B_2010-11-11,|B| (nT),17.6116,5.9955,4.3695,2.0717
STEREO-B_2010-11-11,BR (nT),3.7471,-1.5382,1.7829,-7.5537
STEREO-B_2010-11-11,BT (nT),12.7524,2.8345,3.3349,-9.7015
STEREO-B_2010-11-11,BN (nT),11.7734,-2.046,5.0506,-17.38
STEREO-B_2010-11-11,Vp (km/s),674.0,505.7985,63.7405,394.0
STEREO-B_2010-11-11,Np (cm⁻³),14.3,1.2451,1.9146,0.11
STEREO-B_2011-01-21,|B| (nT),8.0014,4.0528,1.3159,1.2268
STEREO-B_2011-01-21,BR (nT),3.5944,-0.6764,1.9359,-7.6723
STEREO-B_2011-01-21,BT (nT),5.1104,-1.2802,2.6957,-6.7594
STEREO-B_2011-01-21,BN (nT),7.6604,-1.0403,1.952,-7.1565
STEREO-B_2011-01-21,Vp (km/s),345.0,306.3686,19.9734,273.0
STEREO-B_2011-01-21,Np (cm⁻³),13.1,3.2596,1.5453,0.9
