,BTOTAL,Vp,Np,Tp,Beta,Entropy,Total_Pressure,Magnetic_Pressure,Dynamic_Pressure,B_component_sigma
BTOTAL,1.0,0.1092345861495246,0.24616434895782513,0.18453110273087298,-0.53860856762074,0.036819803396213074,0.8094154465341695,1.0,0.39540019301285395,0.8017815457013127
Vp,0.1092345861495246,1.0,-0.5942739885476043,0.8156635629247959,-0.3846085678844421,0.8081561840021744,-0.13573038453524439,0.1092345861495246,0.00798436888906773,-0.04573652407465862
Np,0.24616434895782513,-0.5942739885476043,1.0,-0.47151280596412015,0.5692811146114585,-0.7580310242074273,0.6809471635433071,0.24616434895782513,0.7863913087036379,0.3414034629867501
Tp,0.18453110273087298,0.8156635629247959,-0.47151280596412015,1.0,-0.27003332617927006,0.9024155286905313,-0.0008455910690670919,0.18453110273087298,0.02904232694531756,0.017970782246488296
Beta,-0.53860856762074,-0.3846085678844421,0.5692811146114585,-0.27003332617927006,1.0,-0.4468844055044679,-0.01725891070393879,-0.53860856762074,0.41460540711056126,-0.3658848904601069
Entropy,0.036819803396213074,0.8081561840021744,-0.7580310242074273,0.9024155286905313,-0.4468844055044679,1.0,-0.27934407942248196,0.036819803396213074,-0.3395691680369525,-0.13330499802747553
Total_Pressure,0.8094154465341695,-0.13573038453524439,0.6809471635433071,-0.0008455910690670919,-0.01725891070393879,-0.27934407942248196,1.0,0.8094154465341695,0.7642259251850672,0.6887939154024738
Magnetic_Pressure,1.0,0.1092345861495246,0.24616434895782513,0.18453110273087298,-0.53860856762074,0.036819803396213074,0.8094154465341695,1.0,0.39540019301285395,0.8017815457013127
Dynamic_Pressure,0.39540019301285395,0.00798436888906773,0.7863913087036379,0.02904232694531756,0.41460540711056126,-0.3395691680369525,0.7642259251850672,0.39540019301285395,1.0,0.3899329177074358
B_component_sigma,0.8017815457013127,-0.04573652407465862,0.3414034629867501,0.017970782246488296,-0.3658848904601069,-0.13330499802747553,0.6887939154024738,0.8017815457013127,0.3899329177074358,1.0
