left,right,spearman_r,abs_r
BTOTAL,Magnetic_Pressure,1.0,1.0
Tp,Entropy,0.9024155286905313,0.9024155286905313
Vp,Tp,0.8156635629247959,0.8156635629247959
Total_Pressure,Magnetic_Pressure,0.8094154465341695,0.8094154465341695
BTOTAL,Total_Pressure,0.8094154465341695,0.8094154465341695
Vp,Entropy,0.8081561840021744,0.8081561840021744
Magnetic_Pressure,B_component_sigma,0.8017815457013127,0.8017815457013127
BTOTAL,B_component_sigma,0.8017815457013127,0.8017815457013127
Np,Dynamic_Pressure,0.7863913087036379,0.7863913087036379
Total_Pressure,Dynamic_Pressure,0.7642259251850672,0.7642259251850672
Np,Entropy,-0.7580310242074273,0.7580310242074273
Total_Pressure,B_component_sigma,0.6887939154024738,0.6887939154024738
